Time [s],Value,Parity Error,Framing Error
4.3525000000,0x00,,
4.3540400000,0x15,,
4.3555850000,0x16,,
4.3571250000,0x00,,
4.3601050000,0x53,,
4.3614450000,0xC2,,
4.3629850000,0x1C,,
4.3644250000,0x00,,
4.3658650000,0x9D,,
4.3673050000,0x1B,,
4.3687450000,0x00,,
4.3701850000,0x0C,,
4.3717250000,0x01,,
4.3731650000,0x00,,
4.3745050000,0x16,,
4.3760450000,0x17,,
4.3775900000,0x00,,
4.4203700000,0x53,,
4.4219100000,0xC2,,
4.4234550000,0x1C,,
4.4249950000,0x00,,
4.4265400000,0x9D,,
4.4278750000,0x1B,,
4.4293150000,0x00,,
4.4308600000,0x0C,,
4.4321950000,0x01,,
4.4338400000,0x00,,
4.4353850000,0x15,,
4.4369250000,0x16,,
4.4384700000,0x00,,
4.4462850000,0x53,,
4.4477250000,0xC2,,
4.4492650000,0x1C,,
4.4508100000,0x00,,
4.4522500000,0x9D,,
4.4536900000,0x1B,,
4.4551250000,0x00,,
4.4566700000,0x0C,,
4.4581100000,0x01,,
4.4595500000,0x00,,
4.4609900000,0x16,,
4.4625300000,0x17,,
4.4640750000,0x00,,
4.4954400000,0x53,,
4.4969850000,0xC2,,
4.4985250000,0x1C,,
4.4999650000,0x00,,
4.5014050000,0x9D,,
4.5030500000,0x1B,,
4.5044900000,0x00,,
4.5060350000,0x0C,,
4.5075750000,0x01,,
4.5090150000,0x00,,
4.5104550000,0x15,,
4.5120000000,0x16,,
4.5135400000,0x00,,
4.5252650000,0x53,,
4.5268050000,0xC2,,
4.5283500000,0x1C,,
4.5298900000,0x00,,
4.5314350000,0x9D,,
4.5328750000,0x1B,,
4.5343150000,0x00,,
4.5357550000,0x0C,,
4.5371900000,0x01,,
4.5386300000,0x00,,
4.5401750000,0x16,,
4.5416150000,0x17,,
4.5429500000,0x00,,
4.5452150000,0x53,,
4.5466500000,0xC2,,
4.5480900000,0x1C,,
4.5495300000,0x00,,
4.5509700000,0x9D,,
4.5524100000,0x1B,,
4.5539550000,0x00,,
4.5553950000,0x0C,,
